F,MSFT,FB,NFLX,GOOG  ,TSLA ,Ibov,SELIC,usd_brl,GOLD
11.306498826959,56.39448537175,129.23,97.48,781.56,206.27,59355.0,14.25,3.247,136.5
11.19427551354,55.782241260355,128.09,96.67,775.01,200.7,58350.0,14.25,3.2229,137.3
11.287794941389,55.976604470322,128.27,98.55,777.29,204.03,58367.0,14.25,3.2456,139.0
11.315850769744,55.801677581352,128.77,102.63,772.56,213.7,59461.0,14.25,3.2332,134.5
11.409370197593,55.626750692382,128.19,102.34,776.43,211.41,59339.0,14.25,3.2197,132.8
11.67122459557,56.015477112315,128.47,106.28,776.47,208.46,60254.0,14.25,3.2353,130.1
11.587057110506,56.112658717298,128.74,105.07,776.86,201.0,60644.0,14.25,3.2304,129.5
11.493537682657,56.170967680288,128.99,104.82,775.08,196.61,61108.0,14.25,3.2128,129.5
11.334554655313,56.404203532248,130.24,103.33,785.94,200.95,61668.0,14.25,3.2119,128.7
11.21297939911,55.578159889891,128.88,100.59,783.07,200.1,61021.0,14.25,3.213,128.49
11.13816385683,55.315769556436,127.82,100.23,778.19,200.24,61118.0,14.25,3.2081,128.35
11.13816385683,55.801677581352,127.88,101.47,778.53,196.51,61767.0,14.25,3.1858,128.0
11.110108028476,55.607314371386,127.54,99.8,779.96,193.96,62696.0,14.25,3.1957,128.0
11.119459971261,56.034913433312,128.57,118.79,795.26,199.1,63782.0,14.25,3.1868,128.0
11.231683284679,55.908577346834,130.11,121.87,801.56,203.56,63505.0,14.25,3.1794,128.6
11.19427551354,55.636468852881,130.0,123.35,796.97,199.1,63837.0,14.0,3.1599,128.0
11.241035227464,57.978545532976,132.07,127.5,799.37,200.09,61108.0,14.0,3.1587,128.5
11.400018254808,59.280779039751,133.28,127.33,813.11,202.76,64059.0,14.0,3.1305,126.0
11.222331341895,59.271060879252,132.29,126.51,807.67,202.34,63866.0,14.0,3.1187,126.0
11.250742307317,58.921207101313,131.04,126.97,799.07,202.24,63825.0,14.0,3.1213,127.0
11.118157802012,58.406144594902,129.69,126.47,795.35,204.01,64249.0,14.0,3.1423,128.0
11.099217158397,58.18262690344,131.29,126.57,795.37,199.97,64307.0,14.0,3.1809,130.0
11.118157802012,58.231217705932,130.99,124.87,784.54,197.73,64924.0,14.0,3.1805,129.5
